Duration,SOA,Rating
250ms,0ms,2
250ms,0ms,1
250ms,0ms,5
250ms,50ms,2
250ms,50ms,1
250ms,50ms,5
250ms,100ms,2
250ms,100ms,2
250ms,100ms,6
250ms,150ms,3
250ms,150ms,2
250ms,150ms,6
250ms,200ms,6
250ms,200ms,3
250ms,200ms,7
250ms,250ms,5
250ms,250ms,3
250ms,250ms,3
250ms,300ms,7
250ms,300ms,4
250ms,300ms,2
